ax (m/s^2),ay (m/s^2),az (m/s^2)
0.0939,-0.073,0.0024
0.0219,-0.1052,-0.1275
-0.0793,-0.2256,-0.2589
-0.0541,-0.252,-0.3543
-0.1106,-0.2756,-0.2454
-0.0982,-0.2703,-0.1493
-0.0523,-0.2267,-0.0263
-0.0207,-0.1286,0.168
0.0498,-0.1148,0.1267
0.0564,-0.13,0.0486
0.0443,-0.0856,0.0434
0.023,-0.0726,0.0244
-0.0124,-0.0693,-0.037
-0.0406,-0.0779,-0.101
-0.0474,-0.1272,-0.1292
-0.0518,-0.1525,-0.1386
-0.0587,-0.1609,-0.1384
-0.0705,-0.1455,-0.1095
-0.0439,-0.1588,-0.1019
-0.063,-0.1865,-0.1158
-0.063,-0.164,-0.1199
0.0092,-0.1366,-0.1289
-0.0287,-0.1405,-0.1376
-0.0258,-0.1062,-0.0593
-0.0422,-0.0604,0.0539
-0.0681,-0.0674,-0.0189
-0.0893,-0.0601,-0.1247
-0.0867,-0.0384,-0.1925
-0.1298,-0.0524,-0.2396
-0.101,-0.0685,-0.247
-0.1394,-0.063,-0.1876
-0.1468,-0.0002,-0.0774
-0.1469,0.0742,0.0131
-0.0845,0.1286,0.1211
-0.0408,0.1581,0.2883
0.0251,0.1553,0.3642
0.1088,0.1037,0.3704
0.1523,0.0461,0.4394
-0.271,0.0537,0.9142
0.1827,-0.0265,0.7931
0.1438,0.0546,0.795
0.0283,-0.0069,0.8361
-0.0058,-0.1245,0.8074
-0.0231,-0.2115,0.5133
-0.0621,-0.3512,0.297
-0.1717,-0.4092,0.087
-0.3212,-0.4397,-0.2613
-0.198,-0.4834,-0.5898
0.0266,-0.4442,-0.7105
-0.2005,-0.3914,-1.0183
-0.4833,-0.368,-1.2819
-0.449,-0.3697,-1.0445
-0.2383,-0.4137,-0.7657
-0.1402,-0.4092,-0.4535
-0.0165,-0.3852,-0.3179
0.1939,-0.4324,-0.4611
0.2282,-0.438,-0.7391
0.2659,-0.4763,-1.0916
0.2566,-0.4991,-1.2056
0.1688,-0.4231,-0.947
0.2009,-0.275,-0.5496
0.2936,-0.158,-0.2264
0.366,-0.144,-0.1207
0.4012,-0.1515,-0.2427
0.4372,-0.159,-0.3107
0.3927,-0.1855,-0.2936
0.4594,-0.195,-0.3285
0.4581,-0.2091,-0.4333
0.3839,-0.1844,-0.5033
0.275,-0.1689,-0.5967
0.2129,-0.2223,-0.6828
0.1568,-0.2848,-0.6173
0.1547,-0.366,-0.5723
0.2306,-0.4276,-0.4775
0.0407,-0.4627,-0.4607
-0.0895,-0.3662,-0.1958
-0.0611,-0.2917,0.0271
-0.2027,-0.1984,0.0182
-0.251,-0.1435,-0.0967
-0.2755,-0.0936,-0.2394
-0.3408,-0.0484,-0.3796
-0.4302,-0.0272,-0.4718
-0.4646,0.0229,-0.5283
-0.4631,0.0611,-0.5302
-0.4063,0.0969,-0.5014
-0.3447,0.0897,-0.4463
-0.2519,0.0251,-0.4174
-0.1739,0.0274,-0.3882
-0.0624,0.0035,-0.3778
0.0011,0.0035,-0.3866
0.0765,-0.0085,-0.4407
0.0851,0.0106,-0.4944
0.1162,0.008,-0.559
0.1204,0.0148,-0.6395
0.1194,0.0479,-0.7051
0.0826,0.0666,-0.778
-0.0191,0.059,-0.8202
-0.1456,0.0229,-0.8394
-0.2831,-0.0346,-0.8283
-0.4326,-0.0825,-0.7839
-0.5061,-0.1399,-0.7011
-0.5063,-0.171,-0.6509
-0.4692,-0.1807,-0.6499
-0.4311,-0.1787,-0.6739
-0.3821,-0.1792,-0.7283
-0.3607,-0.1725,-0.7845
-0.3117,-0.216,-0.8123
-0.2491,-0.2666,-0.8383
-0.1895,-0.305,-0.8367
-0.1092,-0.3096,-0.8365
-0.0274,-0.2828,-0.847
0.0825,-0.2392,-0.8509
0.2017,-0.1812,-0.8425
0.2999,-0.1305,-0.857
0.3992,-0.1041,-0.8555
0.4047,-0.0899,-0.9029
0.355,-0.107,-0.9757
0.2333,-0.081,-1.0529
0.0602,-0.0979,-1.1644
-0.1072,-0.0978,-1.215
-0.2173,-0.0996,-1.222
-0.3427,-0.1226,-1.2096
-0.4124,-0.1499,-1.1274
-0.4171,-0.1697,-1.0032
-0.3663,-0.1895,-0.884
-0.3291,-0.1663,-0.7974
-0.298,-0.1386,-0.7286
-0.2649,-0.1137,-0.7082
-0.2175,-0.1082,-0.7248
-0.1981,-0.1387,-0.7646
-0.2014,-0.1742,-0.8132
-0.2032,-0.1905,-0.8613
-0.2154,-0.1997,-0.89
-0.2579,-0.1944,-0.9094
-0.2739,-0.1961,-0.9152
-0.3101,-0.207,-0.8892
-0.3554,-0.2031,-0.853
-0.3747,-0.2109,-0.8135
-0.392,-0.2279,-0.7802
-0.4672,-0.2208,-0.767
-0.5424,-0.1515,-0.7397
-0.5933,-0.0798,-0.7287
-0.686,-0.0057,-0.7343
-0.7916,0.0468,-0.7373
-0.879,0.1064,-0.7448
-0.9196,0.1517,-0.7666
-0.8697,0.1489,-0.7829
-0.779,0.11,-0.805
-0.6855,0.1016,-0.856
-0.6274,0.0951,-0.9354
-0.5786,0.0951,-1.0749
-0.525,0.023,-1.2322
-0.5434,0.0156,-1.442
-0.6755,0.1093,-1.6351
-0.788,0.2451,-1.771
-0.8345,0.4303,-1.8389
-0.8228,0.6626,-1.7589
-0.801,0.7882,-1.5581
-0.9166,0.8476,-1.2422
-1.1701,0.9557,-0.8812
-1.3709,1.0266,-0.5064
-1.4424,1.1293,-0.1718
-1.3504,1.3278,0.1823
-1.1896,1.5712,0.5036
-0.983,1.787,0.7413
-0.7618,1.8862,0.8918
-0.5899,1.8083,0.9571
-0.5208,1.5575,0.9724
-0.5441,1.1622,0.8716
-0.5579,0.6607,0.6589
-0.5204,0.114,0.3091
-0.4669,-0.3714,-0.117
-0.3943,-0.7508,-0.4976
-0.332,-0.9657,-0.7598
-0.3194,-1.001,-0.9462
-0.2619,-0.9214,-0.9781
-0.1316,-0.8132,-0.8474
0.0393,-0.7559,-0.5957
0.1472,-0.7068,-0.2809
0.2392,-0.7336,0.1011
0.282,-0.7386,0.4973
0.3329,-0.6988,0.8285
0.4493,-0.6793,1.0443
0.575,-0.6016,1.1841
0.7087,-0.509,1.2315
0.8257,-0.3963,1.1831
0.846,-0.3205,1.0159
0.8217,-0.2595,0.7857
0.7447,-0.2104,0.5288
0.5623,-0.168,0.2992
0.4333,-0.1776,0.1251
0.328,-0.1678,0.0602
0.163,-0.1414,0.0296
-0.0449,-0.1417,0.0029
-0.2077,-0.1519,-0.0182
-0.3603,-0.1355,-0.0853
-0.4318,-0.1066,-0.1131
-0.4182,-0.1535,-0.0926
-0.2592,-0.3172,-0.0495
-0.0135,-0.5212,-0.0479
0.2146,-0.7155,-0.1016
0.4191,-0.8688,-0.1652
0.5751,-0.9813,-0.2294
0.6788,-1.0527,-0.3666
0.7134,-1.0541,-0.5272
0.6856,-1.0357,-0.6951
0.6618,-0.9755,-0.8159
0.6196,-0.8018,-0.8562
0.5461,-0.6174,-0.8111
0.5082,-0.456,-0.721
0.5224,-0.3535,-0.5973
0.5818,-0.2792,-0.4627
0.6315,-0.1978,-0.3274
0.725,-0.1506,-0.2115
0.782,-0.0735,-0.1783
0.8272,-0.0432,-0.2324
0.7703,-0.012,-0.3188
0.6536,0.0229,-0.4453
0.5077,-0.0315,-0.5939
0.3821,-0.0934,-0.7754
0.2904,-0.2079,-0.9308
0.2637,-0.3412,-1.0492
0.2855,-0.5219,-1.0969
0.3395,-0.6834,-1.1333
0.4114,-0.8066,-1.1265
0.458,-0.8801,-1.1353
0.4909,-0.8825,-1.1299
0.5311,-0.8404,-1.1672
0.603,-0.7298,-1.2405
0.7211,-0.5814,-1.298
0.8669,-0.4262,-1.3667
0.9714,-0.2784,-1.3895
1.0759,-0.1597,-1.3355
1.1402,-0.0699,-1.2837
1.1861,-0.0067,-1.2176
1.1945,0.0995,-1.1924
1.168,0.2726,-1.1721
1.1034,0.4263,-1.1446
1.0503,0.6113,-1.1295
