ax (m/s^2),ay (m/s^2),az (m/s^2)
0.0856,0.021,-0.708
0.0228,-0.0376,-0.7609
0.0032,-0.1169,-0.5509
-0.0857,-0.1792,-0.3804
-0.0887,-0.275,-0.2601
-0.4345,-0.3063,-0.172
-0.3074,-0.25,0.0222
0.147,-0.2042,0.1412
0.1647,-0.1832,-0.008
0.0514,-0.191,-0.2382
-0.0284,-0.165,-0.4145
-0.0414,-0.1648,-0.4271
-0.0546,-0.1308,-0.3837
-0.0416,-0.1107,-0.3322
-0.0835,-0.0879,-0.3105
-0.1013,-0.0601,-0.3545
-0.1382,-0.1277,-0.3779
-0.2355,-0.1472,-0.3925
-0.3263,-0.1283,-0.3717
-0.1414,-0.1047,-0.269
-0.056,-0.1172,-0.2592
-0.1307,-0.0938,-0.3521
-0.2226,-0.08,-0.4259
-0.2385,-0.0303,-0.4467
-0.1762,0.0647,-0.3999
-0.1531,0.1809,-0.2823
-0.1475,0.2009,-0.1556
-0.1064,0.1485,-0.0964
-0.1061,0.1243,-0.1025
-0.1223,0.0231,-0.1168
-0.1936,-0.0543,-0.1566
-0.2936,-0.1486,-0.2348
-0.1792,-0.2333,-0.1882
-0.2045,-0.2585,-0.1457
-0.2909,-0.2002,-0.1308
-0.3502,-0.1254,-0.1247
-0.344,-0.0988,-0.0988
-0.282,-0.218,-0.126
-0.2112,-0.2271,-0.2516
-0.2636,-0.0542,-0.2965
-0.3877,0.0353,-0.3758
-0.5583,-0.0114,-0.413
-0.6899,-0.1224,-0.3892
-0.7855,-0.233,-0.3612
-0.8309,-0.3363,-0.329
-0.8619,-0.3124,-0.3643
-0.8783,-0.2786,-0.523
-0.7936,-0.268,-0.6
-0.6335,-0.2329,-0.5639
-0.57,-0.1924,-0.5323
-0.4778,-0.1825,-0.4978
-0.3635,-0.165,-0.4049
-0.258,-0.1042,-0.2792
-0.1876,-0.0339,-0.1414
-0.1528,0.0026,-0.01
-0.1611,0.0292,0.0772
-0.1843,0.0195,0.1086
-0.2347,-0.024,0.0646
-0.2838,-0.0869,-0.012
-0.2882,-0.1618,-0.1216
-0.2934,-0.2248,-0.2145
-0.292,-0.2277,-0.3101
-0.2748,-0.2255,-0.4235
-0.2353,-0.2132,-0.4834
-0.1758,-0.1953,-0.5214
-0.0891,-0.1982,-0.5116
0.0009,-0.2074,-0.4681
0.133,-0.2448,-0.3978
0.2748,-0.2794,-0.3307
0.3769,-0.2565,-0.3042
0.4538,-0.1742,-0.2863
0.446,-0.0731,-0.3127
0.3845,0.0252,-0.3999
0.3007,0.0968,-0.5103
0.2182,0.1394,-0.5769
0.1723,0.1409,-0.6401
0.1431,0.1494,-0.6853
0.135,0.1406,-0.7436
0.1526,0.1411,-0.8196
0.1333,0.182,-0.8848
0.1732,0.2731,-0.9757
0.2466,0.369,-1.0596
0.3277,0.451,-1.1452
0.4223,0.4334,-1.2098
0.4662,0.4335,-1.2254
0.4182,0.3722,-1.1984
0.3592,0.3233,-1.1107
0.2933,0.2123,-1.028
0.2415,0.1323,-0.9521
0.201,0.0497,-0.911
0.1864,-0.019,-0.8829
0.2023,-0.0663,-0.8803
0.2035,-0.1184,-0.8606
0.2594,-0.1465,-0.8553
0.3391,-0.1793,-0.8285
0.4209,-0.2314,-0.8036
0.5241,-0.2454,-0.7972
0.6415,-0.3027,-0.8281
0.7712,-0.3723,-0.9085
