ax (m/s^2),ay (m/s^2),az (m/s^2)
0.1569,-0.0228,-0.4049
0.1702,-0.1401,-0.429
0.208,-0.1854,-0.3512
0.2224,-0.2785,-0.2474
0.1894,-0.2616,-0.1672
0.1521,-0.2256,-0.1152
0.1196,-0.1849,-0.1462
0.0487,-0.1203,-0.2274
0.0736,-0.1609,-0.2564
0.0622,-0.1513,-0.2642
0.0291,-0.12,-0.2413
0.0101,-0.0696,-0.2085
0.0243,-0.072,-0.1871
0.0746,-0.0673,-0.177
0.0915,-0.0889,-0.1858
0.1206,-0.1465,-0.2115
0.1019,-0.1609,-0.276
0.0953,-0.1847,-0.2694
0.103,-0.1917,-0.2513
0.1156,-0.2107,-0.2095
0.1013,-0.189,-0.2133
0.0891,-0.1647,-0.2558
0.1319,-0.1357,-0.277
0.1603,-0.0923,-0.284
0.1674,-0.1039,-0.2264
0.141,-0.0941,-0.1705
0.1004,-0.1395,-0.0921
0.0284,-0.1371,-0.08
-0.0249,-0.1348,-0.12
-0.0307,-0.1253,-0.1937
-0.0035,-0.1349,-0.3038
0.0693,-0.1276,-0.3695
0.1351,-0.156,-0.3835
0.1917,-0.1604,-0.3216
0.208,-0.1743,-0.2527
0.1697,-0.1643,-0.1644
0.139,-0.1784,-0.1042
0.1039,-0.195,-0.0763
0.1269,-0.2142,-0.0761
0.1313,-0.2479,-0.1561
0.1002,-0.2314,-0.2693
0.0669,-0.1885,-0.3948
0.1134,-0.1719,-0.473
0.1271,-0.1312,-0.5016
0.0695,-0.0785,-0.4945
-0.0478,-0.0211,-0.4438
0.0438,0.0337,-0.3703
0.0066,0.0357,-0.348
-0.0835,-0.0079,-0.3637
-0.0733,-0.0275,-0.418
-0.0107,-0.0877,-0.4325
0.0488,-0.1262,-0.4164
0.1174,-0.1598,-0.3985
0.1903,-0.1815,-0.3471
0.2366,-0.1985,-0.2952
0.2514,-0.1773,-0.2711
0.2611,-0.1395,-0.2461
0.2803,-0.1353,-0.2684
0.302,-0.0952,-0.3267
0.2978,-0.1171,-0.3811
0.282,-0.1508,-0.4107
0.2619,-0.1939,-0.4157
0.2663,-0.2319,-0.4053
0.2325,-0.3153,-0.3428
0.1169,-0.3748,-0.2807
0.0441,-0.3863,-0.2808
0.0018,-0.4003,-0.3026
-0.2025,-0.4021,-0.3513
-0.325,-0.265,-0.4757
-0.1036,-0.2233,-0.5206
