ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.0663,-0.0489,-0.6688
-0.0966,-0.0915,-0.5055
-0.1148,-0.1385,-0.4487
-0.1133,-0.2022,-0.3471
-0.1427,-0.1938,-0.3681
-0.1621,-0.1592,-0.3221
-0.1862,-0.108,-0.2826
-0.1694,-0.088,-0.3387
-0.2101,-0.0582,-0.4435
-0.2462,-0.028,-0.4703
-0.2775,0.0287,-0.373
-0.2657,0.0542,-0.3234
-0.2634,0.063,-0.408
-0.2996,0.0599,-0.433
-0.363,0.0569,-0.3599
-0.3936,0.0083,-0.2742
-0.3529,-0.0284,-0.2311
-0.3151,-0.0629,-0.2521
-0.3121,-0.0589,-0.3545
-0.3176,0.0363,-0.4333
-0.2402,0.1867,-0.4092
-0.1633,0.2557,-0.4089
-0.1225,0.2384,-0.3723
-0.1053,0.2017,-0.2845
-0.1113,0.0973,-0.2097
-0.1332,0.0088,-0.1708
-0.1491,-0.0379,-0.0473
-0.1615,-0.0525,0.0994
-0.1463,-0.0546,0.2633
-0.1518,-0.0706,0.4185
-0.099,-0.0288,0.5463
-0.1031,0.0254,0.69
-0.1749,-0.0272,0.6068
-0.9487,-0.0487,0.3925
-0.7194,-0.4429,-0.1702
-0.4742,-0.3689,-0.403
-0.5258,-0.2118,-0.5707
-0.6693,-0.0551,-0.7028
-0.4775,-0.0023,-0.6011
-0.2899,0.0198,-0.2798
-0.2037,0.1117,-0.1669
-0.1685,0.1582,-0.1831
-0.0804,0.1211,-0.1586
-0.0536,-0.0073,-0.0087
0.0325,-0.1578,0.0182
0.0615,-0.2489,-0.047
0.1485,-0.2855,-0.1353
0.2053,-0.3246,-0.3175
0.1352,-0.3344,-0.5719
-0.0102,-0.3361,-0.7491
-0.1436,-0.3051,-0.8122
-0.1404,-0.2487,-0.8623
-0.135,-0.174,-0.82
-0.0699,-0.0769,-0.5753
0.0237,-0.1015,-0.3369
0.0667,-0.1595,-0.1803
0.1115,-0.2076,-0.1971
0.074,-0.2095,-0.2808
0.0188,-0.1984,-0.3774
0.0959,-0.203,-0.4813
0.5735,-0.3501,-0.7615
0.1151,-0.3097,-0.5635
0.184,-0.3751,0.0025
0.1214,-0.4463,0.3765
-0.0187,-0.4782,0.5428
-0.0181,-0.5062,0.5027
0.0641,-0.5253,0.2567
0.1786,-0.5302,-0.073
0.2876,-0.487,-0.4473
0.3556,-0.4003,-0.7407
0.3776,-0.2508,-0.9345
0.3557,-0.0289,-1.0021
0.3032,0.1648,-0.9831
0.2558,0.2772,-0.9095
0.1596,0.3488,-0.78
0.0304,0.3841,-0.6718
-0.0588,0.3879,-0.6638
-0.0694,0.3651,-0.7226
-0.0083,0.2942,-0.8273
0.0676,0.2114,-0.9862
0.159,0.1265,-1.1698
0.2641,0.0686,-1.3148
0.381,0.0092,-1.4365
0.4669,-0.0902,-1.511
0.575,-0.1914,-1.4894
0.7007,-0.2615,-1.4012
0.8423,-0.2987,-1.3137
0.9764,-0.3082,-1.233
1.0608,-0.3022,-1.1612
1.0358,-0.3166,-1.0408
0.9131,-0.3442,-0.9271
0.7328,-0.4255,-0.8944
0.5545,-0.5746,-0.9242
0.4021,-0.7243,-1.039
0.3041,-0.8959,-1.1795
0.2344,-1.0318,-1.3156
0.2126,-1.1317,-1.4861
0.2103,-1.1717,-1.6076
0.1747,-1.1805,-1.6804
0.1295,-1.2201,-1.7145
0.0384,-1.2689,-1.7
-0.0996,-1.3366,-1.603
-0.2182,-1.3969,-1.5136
-0.3416,-1.4405,-1.431
-0.3624,-1.4266,-1.3241
-0.2206,-1.3096,-1.2505
-0.006,-1.1374,-1.2184
0.1669,-0.9456,-1.1761
0.3814,-0.7843,-1.1385
0.5412,-0.7036,-1.1059
0.617,-0.6581,-1.0493
0.6435,-0.7365,-0.9673
0.5768,-0.87,-0.8653
0.4778,-0.9965,-0.7993
0.4037,-1.0734,-0.785
0.4025,-1.1486,-0.8002
0.3982,-1.1648,-0.9049
0.3791,-1.1647,-1.0551
0.4008,-1.1406,-1.2097
0.4911,-1.133,-1.2928
0.5796,-1.0917,-1.3793
0.5902,-1.0429,-1.4338
0.5806,-1.0154,-1.4368
0.5221,-1.0359,-1.3583
0.4074,-1.0641,-1.2465
0.3342,-1.0888,-1.1736
0.3017,-1.0861,-1.1001
0.3398,-0.9887,-1.1345
0.4003,-0.7914,-1.3265
0.4825,-0.4237,-1.524
0.5976,0.0962,-1.7047
0.5555,0.8072,-1.7678
0.4949,1.5636,-1.5562
0.5454,2.2094,-1.0238
0.4676,2.6673,-0.2604
0.1815,3.0939,0.6269
-0.0722,3.4952,1.5053
-0.1845,3.6688,2.1351
0.0582,3.3146,2.6371
0.5537,2.3287,3.0197
0.7468,1.1642,2.989
0.5214,0.1236,2.5892
0.1243,-0.679,1.8626
-0.336,-1.069,0.8806
-0.9174,-0.8907,-0.1517
-1.6333,-0.0223,-1.043
-2.1586,1.2765,-1.6119
-2.3961,2.8089,-1.6224
-2.3903,4.1453,-1.1539
-1.8301,4.663,-0.1699
-0.7075,4.1264,1.0346
0.1456,3.0903,2.1118
0.505,1.9908,2.9157
0.6448,1.0046,3.2329
0.6521,0.147,3.1207
0.5279,-0.4485,2.4506
0.1206,-0.6358,1.3086
-0.5634,-0.4838,-0.0007
-1.2543,-0.2009,-1.1929
-1.6118,-0.021,-1.9733
-1.6474,-0.0495,-2.2268
-1.5096,-0.2204,-1.9716
-1.2317,-0.4652,-1.4753
-1.0352,-0.627,-0.8644
-0.8891,-0.6731,-0.2876
-0.7071,-0.6283,0.2305
-0.52,-0.5026,0.6569
-0.3054,-0.273,0.9746
-0.1447,0.0244,1.1061
-0.0262,0.2794,1.0828
0.031,0.4345,0.8827
0.0637,0.4349,0.5615
0.0103,0.2501,0.1664
-0.1238,-0.0807,-0.2486
-0.3534,-0.5114,-0.6101
-0.6142,-0.9362,-0.8358
-0.8473,-1.2975,-0.9356
-1.0062,-1.5356,-0.9396
-1.1067,-1.6531,-0.8505
-1.1069,-1.6768,-0.7618
-1.0721,-1.6406,-0.6721
-0.9949,-1.5831,-0.6018
-0.9009,-1.5951,-0.6113
-0.7892,-1.715,-0.6582
-0.6948,-1.957,-0.695
-0.5546,-2.2878,-0.7599
-0.4447,-2.6689,-0.829
-0.4276,-2.988,-0.9236
-0.4828,-3.2233,-1.0515
-0.6626,-3.2404,-1.1731
