ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.1108,-0.1665,-0.5327
-0.1096,-0.161,-0.4269
-0.0749,-0.1122,-0.3171
-0.0449,-0.1161,-0.1857
-0.0409,-0.113,-0.1014
-0.0293,-0.1128,-0.011
-0.0461,-0.1202,-0.008
-0.0387,-0.1183,-0.0566
-0.072,-0.1237,-0.1241
-0.1173,-0.105,-0.204
-0.1078,-0.0932,-0.28
-0.0912,-0.0668,-0.3089
-0.06,-0.0856,-0.3005
-0.0719,-0.1187,-0.2326
-0.1055,-0.0967,-0.155
-0.1273,-0.0892,-0.0937
-0.1323,-0.0915,-0.0821
-0.1375,-0.0963,-0.089
-0.1331,-0.1012,-0.11
-0.1407,-0.0989,-0.1502
-0.1387,-0.1133,-0.1691
-0.1609,-0.1276,-0.1956
-0.1592,-0.1058,-0.201
-0.1313,-0.0934,-0.2258
-0.0961,-0.1121,-0.2103
-0.1085,-0.1165,-0.1877
-0.0993,-0.0538,-0.1554
-0.1018,-0.0799,-0.118
-0.1137,-0.1253,-0.0418
-0.1515,-0.1086,-0.0008
-0.187,-0.0946,-0.0118
-0.2131,-0.1021,-0.0708
-0.2031,-0.0879,-0.1373
-0.176,-0.0759,-0.1905
-0.1623,-0.102,-0.1559
-0.1762,-0.1425,-0.0403
-0.2197,-0.1691,0.1051
-0.271,-0.1965,0.2047
-0.2722,-0.2175,0.1887
-0.2488,-0.2297,0.172
-0.2633,-0.2471,0.0935
-0.311,-0.2071,0.0169
-0.3277,-0.1909,-0.0441
-0.4029,-0.1768,-0.0732
-0.4291,-0.1454,-0.08
-0.524,-0.1014,-0.1177
-0.6449,-0.088,-0.0972
-0.7834,-0.0192,-0.0225
-0.8732,0.069,0.0328
-0.8879,0.0353,0.1218
-0.8846,-0.0799,0.2759
-0.948,-0.1425,0.4168
-1.0496,-0.1695,0.4754
-0.996,-0.173,0.5552
-0.9184,-0.1887,0.5124
-1.0994,-0.2599,0.3682
-1.3205,-0.0939,0.1938
-1.2799,-0.0401,0.0262
-1.1062,-0.1004,-0.1097
-0.8989,-0.2554,-0.2033
-0.7005,-0.354,-0.2527
-0.5656,-0.3654,-0.2479
-0.3954,-0.3185,-0.2096
-0.1024,-0.2665,-0.0528
0.2172,-0.2698,0.0994
0.3099,-0.2401,0.224
0.2034,-0.1728,0.3214
0.0831,-0.1515,0.4255
0.0565,-0.1621,0.4838
0.0467,-0.1998,0.5041
0.0635,-0.2193,0.4843
0.0854,-0.1894,0.3741
0.0792,-0.1173,0.2185
0.0226,-0.0217,0.074
0.0424,0.0427,-0.1297
0.1533,0.045,-0.3869
0.2406,0.0312,-0.6389
0.2105,0.0207,-0.8292
0.1337,0.0112,-0.9392
0.0795,-0.0163,-1.0139
0.0615,-0.0764,-1.0697
0.0437,-0.1284,-1.1036
0.0954,-0.1534,-1.1634
0.167,-0.1295,-1.161
0.3626,-0.1354,-1.2921
0.5232,-0.0942,-1.3256
0.5484,-0.0467,-1.2346
