ax (m/s^2),ay (m/s^2),az (m/s^2)
-0.2068,0.0834,-0.6363
-0.2893,-0.0821,-1.0699
-0.4536,-0.1833,-1.068
-0.5011,-0.2278,-0.8679
-0.4481,-0.2019,-0.6092
-0.4332,-0.209,-0.4668
-0.3917,-0.1856,-0.1046
-0.355,-0.1255,0.4885
-0.3999,-0.1391,0.6664
-0.3275,-0.1106,0.4052
-0.5697,-0.0276,0.1807
-1.2627,-0.0314,0.5061
-0.5914,-0.0353,0.2099
-0.0999,-0.0841,-0.2689
-0.0807,-0.1556,-0.6285
-0.1753,-0.1657,-0.7302
-0.0552,-0.1934,-0.852
-0.1148,-0.1918,-0.4711
-0.4953,-0.1809,0.0125
-0.4759,-0.1018,0.4657
-0.4732,-0.0482,0.5753
-0.4943,0.0163,0.4024
-0.385,0.0396,0.0135
-0.1702,0.0585,-0.422
-0.1369,0.0831,-0.7051
-0.163,0.0607,-0.7783
-0.1932,0.0723,-0.5851
-0.2252,0.0216,-0.3708
-0.2759,-0.0842,-0.2353
-0.2714,-0.1686,-0.1519
-0.2208,-0.2581,-0.1014
-0.2609,-0.3145,-0.0376
-0.3515,-0.2684,0.0901
-0.454,-0.2184,0.2722
-1.2607,-0.064,0.8524
-0.8046,-0.0225,0.5202
-0.3568,-0.0523,0.0659
-0.2832,-0.0784,-0.3026
-0.2489,-0.2035,-0.4089
-0.3288,-0.2268,-0.3165
-0.4042,-0.29,-0.0852
-0.4325,-0.4343,0.1528
-0.3484,-0.658,0.3801
-0.2118,-0.8915,0.4027
-0.0589,-0.8951,0.1691
0.1338,-0.8337,-0.0582
0.3499,-0.736,-0.2889
0.6434,-0.6594,-0.5379
0.9705,-0.5681,-0.8394
1.2465,-0.4645,-1.106
1.4203,-0.2715,-1.4013
1.4325,-0.037,-1.6091
1.2226,0.2346,-1.7175
0.8624,0.5172,-1.6804
0.4446,0.698,-1.4477
0.1167,0.7791,-1.1101
-0.0292,0.7743,-0.7922
0.0176,0.7406,-0.4588
0.1687,0.6774,-0.2348
0.4175,0.6129,-0.1866
0.7396,0.521,-0.301
1.1013,0.3996,-0.5273
1.3446,0.2799,-0.7547
1.4852,0.1145,-0.9654
1.4951,-0.0659,-1.0992
1.4291,-0.2423,-1.1819
1.3633,-0.3885,-1.2316
1.3598,-0.5287,-1.2866
1.3825,-0.5642,-1.3834
1.3977,-0.5117,-1.5206
1.3961,-0.3921,-1.6562
1.3659,-0.2295,-1.7664
1.2977,-0.0671,-1.8008
1.1864,0.0734,-1.7774
1.0296,0.1652,-1.7336
0.8849,0.2104,-1.6611
0.7307,0.2324,-1.6403
0.6174,0.1905,-1.6181
0.5208,0.1636,-1.6755
0.4837,0.1545,-1.7944
0.5077,0.1499,-1.9007
0.5585,0.2037,-1.9354
0.535,0.348,-1.9513
0.4735,0.5976,-1.9279
0.2678,0.9478,-1.7864
-0.0656,1.4561,-1.4088
-0.4272,1.9476,-0.7884
-0.6147,2.2032,0.0159
-0.5652,1.9862,0.8243
-0.4272,1.2946,1.4446
-0.49,0.4075,1.8188
-0.8258,-0.4161,1.9339
-1.294,-1.0677,1.7972
-1.7596,-1.5604,1.5452
-2.0796,-1.8955,1.3265
-2.1648,-2.0355,0.9554
-1.9172,-1.7845,0.3735
-1.3282,-1.2295,-0.2448
-0.534,-0.5039,-0.7316
0.2743,0.2595,-0.9655
0.9427,0.8679,-0.9045
1.4585,1.2264,-0.5779
1.7804,1.2994,-0.0862
1.8227,1.188,0.3932
1.6007,1.0175,0.8472
1.1071,0.8829,1.1034
0.4479,0.8153,1.148
-0.239,0.799,1.0393
-0.7974,0.7685,0.8513
-1.1518,0.6456,0.5941
-1.2777,0.4144,0.259
-1.281,0.0157,-0.1323
-1.1518,-0.4609,-0.5368
-0.9277,-0.9019,-0.9481
-0.6743,-1.1746,-1.3428
-0.4065,-1.2472,-1.6565
-0.1409,-1.148,-1.8492
0.0792,-0.9925,-1.8168
0.2167,-0.8008,-1.6279
0.1477,-0.5721,-1.3258
-0.0351,-0.3219,-0.9813
-0.3963,0.0184,-0.6664
-0.7992,0.3881,-0.3502
-1.1838,0.7647,-0.1649
-1.3573,1.0474,-0.0765
-1.2854,1.1476,-0.1579
-0.9891,1.1283,-0.354
-0.6149,0.9907,-0.6771
-0.277,0.7117,-1.0337
0.0226,0.3375,-1.3248
0.1926,-0.0908,-1.5343
0.2294,-0.5348,-1.6387
0.1379,-0.8484,-1.6978
-0.0903,-1.0532,-1.7094
-0.3078,-1.1157,-1.7069
-0.4992,-1.0432,-1.7214
-0.5642,-0.903,-1.6877
-0.5503,-0.7169,-1.6555
-0.5042,-0.5663,-1.6171
-0.5483,-0.4133,-1.5194
-0.6518,-0.2221,-1.3664
-0.7837,0.0043,-1.2192
-0.9419,0.1719,-1.0879
-1.1249,0.2657,-0.9932
-1.3238,0.3198,-1.0079
-1.5224,0.3085,-1.0957
-1.6079,0.3091,-1.2535
-1.5699,0.3103,-1.4492
-1.4186,0.3555,-1.6452
-1.1253,0.5167,-1.798
-0.8305,0.8106,-1.8838
-0.611,1.2349,-1.9004
-0.4792,1.7418,-1.7833
